Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region27Shaanxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,165000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region27Shaanxi,14950,200,Region27Shaanxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region28Gansu_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,321000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region28Gansu,32150,200,Region28Gansu_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region29Qinghai_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,186000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region29Qinghai,12670,200,Region29Qinghai_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region30Ningxia_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,82000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region30Ningxia,15090,200,Region30Ningxia_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region31Xinjiang_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,618000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region31Xinjiang,47080,200,Region31Xinjiang_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region1Beijing_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,59000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region1Beijing,1222,200,Region1Beijing_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region2Tianjin_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,42000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region2Tianjin,3729,200,Region2Tianjin_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region3Hebei_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,279000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region3Hebei,29083,200,Region3Hebei_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region4Shanxi_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,117000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region4Shanxi,9759,200,Region4Shanxi_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region5Innermongolia_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,230000,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region5Innermongolia,3081,200,Region5Innermongolia_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
